Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
QLD_coal,1,8126.0,856.043932981746,1.8690564273155232e-5,7269.956085708818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_coal_ccs,1,0.0,0.0,9.636947703804649e-5,9.636947703804649e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_CCGT,1,1597.9,1011.5907704249651,6.913476231518235e-6,586.3092364885113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_CCGT_CCS,1,0.0,0.0,0.00017509830193177943,0.00017509830193177943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_OCGT,1,1988.5,1988.4952364333528,8.914667431976206e-6,0.004772481314603283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_wind,1,826.408,1.174104554385086e-8,17743.996509579963,18570.404509568223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_solar,1,1798.627,2.7715090733722378e-8,19814.009542786443,21612.63654275873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_biomass,1,0.0,0.0,0.0001987462832678673,0.0001987462832678673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_hydro,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_PHES,1,740.0,1.7826732030773917e-8,6449.284785416393,7189.284785398566,6770.0,8.22962082507262e-7,170595.0404506242,177365.04044980122,0.0,0.0,0.0,0.0
QLD_battery,1,100.0,4.777182959052338e-8,1146.6741420514272,1246.6741420036553,150.0,1.305344008324249e-7,4995.8263355984345,5145.8263354679,0.0,0.0,0.0,0.0
Total,n/a,15177.435,3856.1299399451186,45153.965484567,56475.27054462188,6920.0,9.534964833396869e-7,175590.8667862226,182510.8667852691,0.0,0.0,0.0,0.0
